,상권_코드,분기당_매출_금액,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,위도,경도
0,1000017,154842153717.0,골목상권,종로24길,199432,452217,11110,11110615,37.56949290492456,126.99357054630521
1,1000109,164429364134.0,골목상권,성수이로7길,204848,449183,11200,11200690,37.542144071492224,127.05485669201654
2,1000113,154176475800.0,골목상권,아차산로11길,205275,449569,11200,11200690,37.545619583980304,127.05969110599031
3,1000201,103066041194.0,골목상권,장한로5길,205716,451743,11230,11230650,37.56520463235324,127.06469832491446
4,1000360,99893353554.0,골목상권,도봉로114길,203205,460886,11320,11320511,37.64759427158531,127.03631682587171
5,1000492,93807323424.0,골목상권,양화로1길,192015,450119,11440,11440680,37.55055558746798,126.90963698902888
6,1000644,118423450010.0,골목상권,디지털로32길,191191,442651,11530,11530540,37.48326124071472,126.90040159424703
7,1000727,107096064250.0,골목상권,영등포로27길,191114,446969,11560,11560550,37.52216587020949,126.899478854283
8,1000728,124748044806.0,골목상권,영등포로35길,191411,446916,11560,11560535,37.52169115109669,126.90283922372406
9,1000847,120936144205.0,골목상권,고무래로8길,200926,444577,11650,11650581,37.50065615765236,127.01047219056247
10,1000866,93136361897.0,골목상권,사평대로22길,199756,444289,11650,11650581,37.49806169167271,126.99724068456197
11,1000910,109784355818.0,골목상권,도산대로81길,204182,447512,11680,11680565,37.52709161309576,127.04731117656527
12,1000935,107470330044.0,골목상권,테헤란로81길,205020,445683,11680,11680580,37.51060809364278,127.05677902087957
13,1000954,111703714521.0,골목상권,삼전로13길,207717,445242,11710,11710650,37.506616065111956,127.0872789532716
14,1001011,113844451604.0,발달상권,서울 금천구 시흥1동_4,191286,439286,11545,11545670,37.452943165976684,126.90151548643851
15,1001015,128440430918.0,발달상권,서울 금천구 독산1동_1,190842,441181,11545,11545610,37.470013027610726,126.89647392543884
16,1001018,199037512320.0,발달상권,포이사거리_2,203907,441907,11650,11650652,37.47659145589457,127.04417032889133
17,1001020,166526894860.0,발달상권,장지역,210795,441986,11710,11710642,37.477248481146304,127.12204320261074
18,1001021,210147039576.0,발달상권,가산디지털단지역_1,189789,441401,11545,11545510,37.47198421841353,126.88456732142473
19,1001023,315651155565.0,발달상권,가산디지털단지역_2,189388,442499,11545,11545510,37.481872767274155,126.88001831527892
