시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
서울특별시,종로구,청운효자동,청운효자동,청운동,1101072,1111051500,20081101,1111010100,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,신교동,1101072,1111051500,20081101,1111010200,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,궁정동,1101072,1111051500,20081101,1111010300,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,효자동,1101072,1111051500,20081101,1111010400,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,창성동,1101072,1111051500,20081101,1111010500,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,통인동,1101072,1111051500,20081101,1111010800,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,누상동,1101072,1111051500,20081101,1111010900,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,누하동,1101072,1111051500,20081101,1111011000,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,옥인동,1101072,1111051500,20081101,1111011100,,Cheongunhyoja-dong,
서울특별시,종로구,청운효자동,청운효자동,세종로,1101072,1111051500,20081101,1111011900,분할연계,Cheongunhyoja-dong,
서울특별시,종로구,사직동,사직동,통의동,1101053,1111053000,19880423,1111010600,,Sajik-dong,
서울특별시,종로구,사직동,사직동,적선동,1101053,1111053000,19880423,1111010700,,Sajik-dong,
서울특별시,종로구,사직동,사직동,체부동,1101053,1111053000,19880423,1111011200,,Sajik-dong,
서울특별시,종로구,사직동,사직동,필운동,1101053,1111053000,19880423,1111011300,,Sajik-dong,
서울특별시,종로구,사직동,사직동,내자동,1101053,1111053000,19880423,1111011400,,Sajik-dong,
서울특별시,종로구,사직동,사직동,사직동,1101053,1111053000,19880423,1111011500,,Sajik-dong,
서울특별시,종로구,사직동,사직동,도렴동,1101053,1111053000,19880423,1111011600,,Sajik-dong,
서울특별시,종로구,사직동,사직동,당주동,1101053,1111053000,19880423,1111011700,,Sajik-dong,
서울특별시,종로구,사직동,사직동,내수동,1101053,1111053000,19880423,1111011800,,Sajik-dong,
서울특별시,종로구,사직동,사직동,세종로,1101053,1111053000,19880423,1111011900,분할연계,Sajik-dong,
서울특별시,종로구,사직동,사직동,신문로1가,1101053,1111053000,19880423,1111012000,,Sajik-dong,
서울특별시,종로구,사직동,사직동,신문로2가,1101053,1111053000,19880423,1111012100,,Sajik-dong,
서울특별시,종로구,삼청동,삼청동,팔판동,1101054,1111054000,19880423,1111013900,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,삼청동,1101054,1111054000,19880423,1111014000,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,안국동,1101054,1111054000,19880423,1111014100,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,소격동,1101054,1111054000,19880423,1111014200,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,화동,1101054,1111054000,19880423,1111014300,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,사간동,1101054,1111054000,19880423,1111014400,,Samcheong-dong,
서울특별시,종로구,삼청동,삼청동,송현동,1101054,1111054000,19880423,1111014500,,Samcheong-dong,
서울특별시,종로구,부암동,부암동,부암동,1101055,1111055000,19880423,1111018400,,Buam-dong,
서울특별시,종로구,부암동,부암동,홍지동,1101055,1111055000,19880423,1111018500,,Buam-dong,
서울특별시,종로구,부암동,부암동,신영동,1101055,1111055000,19880423,1111018600,,Buam-dong,
서울특별시,종로구,평창동,평창동,구기동,1101056,1111056000,19880423,1111018200,,Pyeongchang-dong,
서울특별시,종로구,평창동,평창동,평창동,1101056,1111056000,19880423,1111018300,,Pyeongchang-dong,
서울특별시,종로구,무악동,무악동,무악동,1101057,1111057000,19880423,1111018700,,Muak-dong,
서울특별시,종로구,교남동,교남동,교남동,1101058,1111058000,19880423,1111017600,,Gyonam-dong,
서울특별시,종로구,교남동,교남동,평동,1101058,1111058000,19880423,1111017700,,Gyonam-dong,
서울특별시,종로구,교남동,교남동,송월동,1101058,1111058000,19880423,1111017800,,Gyonam-dong,
서울특별시,종로구,교남동,교남동,홍파동,1101058,1111058000,19880423,1111017900,,Gyonam-dong,
서울특별시,종로구,교남동,교남동,교북동,1101058,1111058000,19880423,1111018000,,Gyonam-dong,
서울특별시,종로구,교남동,교남동,행촌동,1101058,1111058000,19880423,1111018100,,Gyonam-dong,
서울특별시,종로구,가회동,가회동,가회동,1101060,1111060000,19880423,1111014600,,Gahoe-dong,
서울특별시,종로구,가회동,가회동,재동,1101060,1111060000,19880423,1111014700,,Gahoe-dong,
서울특별시,종로구,가회동,가회동,계동,1101060,1111060000,19880423,1111014800,,Gahoe-dong,
서울특별시,종로구,가회동,가회동,원서동,1101060,1111060000,19880423,1111014900,,Gahoe-dong,
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,세종로,1101061,1111061500,20110501,1111011900,분할연계,Jongno 1.2.3.4(ilisamsa)-ga-dong,
